                                     Name   Unannotated   Explicit   Unimported   Omitted Generics   Error   Special Form   Implementation Artifact
      scriptrag.parser.fountain_processor             0        120            0                  8       0              0                         0
                          scriptrag.query             0          0            0                  0       0              0                         0
                   scriptrag.query.engine             0         86            0                 50       0              0                         0
                scriptrag.query.formatter             0        141            0                 25       0              0                         0
                   scriptrag.query.loader             0         46            0                 15       0              0                         0
                     scriptrag.query.spec             0         42            0                 27       0              0                         0
                         scriptrag.search             0          0            0                  0       0              0                         0
                 scriptrag.search.builder             0         70            0                  0       0              0                         0
                  scriptrag.search.engine             0        136            0                 35       0              0                         0
               scriptrag.search.formatter             0        119            0                  2       0              0                         0
                  scriptrag.search.models             0         74            0                 70       0              0                         0
                  scriptrag.search.parser             0         22            0                 16       0              0                         0
        scriptrag.search.semantic_adapter             0         75            0                 16       0              0                         0
                  scriptrag.search.vector             3        201            0                 42       0              0                         0
            scriptrag.storage.vss_service             0        179           33                 78       0              0                         0
                          scriptrag.types             0          4            0                  0       0              0                         0
                          scriptrag.utils             0          0            0                  0       0              0                         0
              scriptrag.utils.llm_factory             0          6            0                  6       0              0                         0
               scriptrag.utils.screenplay             0        125            0                 22       0              0                         0
---------------------------------------------------------------------------------------------------------------------------------------------------
                                    Total            44       6744           67               1732       1              0                         0
